"month","year","Average_Temperature","state","Precipitation"
"08","1984","74.2","MD","4.40"
"09","1984","64.4","MD","1.62"
"10","1984","61.6","MD","3.12"
"11","1984","43.4","MD","3.39"
"12","1984","43.6","MD","1.88"
"01","1985","27.9","MD","2.26"
"02","1985","34.8","MD","3.14"
"03","1985","45.2","MD","2.41"
"04","1985","56.7","MD","0.67"
"05","1985","64.3","MD","5.15"
"06","1985","69.2","MD","2.78"
"07","1985","74.8","MD","4.19"
"08","1985","73.1","MD","4.85"
"09","1985","67.8","MD","4.87"
"10","1985","58.6","MD","3.44"
"11","1985","51.7","MD","5.75"
"12","1985","33.1","MD","1.19"
"01","1986","32.4","MD","2.84"
"02","1986","32.7","MD","3.62"
"03","1986","44.0","MD","1.52"
"04","1986","53.1","MD","2.43"
"05","1986","64.8","MD","1.45"
"06","1986","72.4","MD","1.85"
"07","1986","77.4","MD","3.43"
"08","1986","72.0","MD","5.05"
"09","1986","67.5","MD","1.09"
"10","1986","57.8","MD","2.58"
"11","1986","44.0","MD","4.95"
"12","1986","37.0","MD","5.75"
"01","1987","31.3","MD","5.06"
"02","1987","32.8","MD","1.74"
"03","1987","44.5","MD","2.24"
"04","1987","51.6","MD","3.54"
"05","1987","64.0","MD","3.41"
"06","1987","73.4","MD","3.13"
"07","1987","78.4","MD","3.04"
"08","1987","74.8","MD","1.63"
"09","1987","68.3","MD","5.91"
"10","1987","51.2","MD","2.30"
"11","1987","47.6","MD","3.80"
"12","1987","38.5","MD","2.71"
"01","1988","27.8","MD","3.05"
"02","1988","34.8","MD","3.29"
"03","1988","43.8","MD","2.51"
"04","1988","51.1","MD","2.86"
"05","1988","62.5","MD","5.71"
"06","1988","71.2","MD","0.93"
"07","1988","78.0","MD","4.90"
"08","1988","77.0","MD","3.91"
"09","1988","65.3","MD","2.67"
"10","1988","50.7","MD","2.10"
"11","1988","46.2","MD","4.89"
"12","1988","35.6","MD","1.04"
"01","1989","37.0","MD","2.71"
"02","1989","35.0","MD","3.18"
"03","1989","42.8","MD","5.18"
"04","1989","51.2","MD","3.50"
"05","1989","60.9","MD","7.31"
"06","1989","73.2","MD","6.54"
"07","1989","75.0","MD","6.69"
"08","1989","73.2","MD","2.75"
"09","1989","67.6","MD","4.39"
"10","1989","57.2","MD","4.65"
"11","1989","44.8","MD","2.70"
"12","1989","24.6","MD","1.57"
"01","1990","40.6","MD","3.98"
"02","1990","41.9","MD","2.09"
"03","1990","46.8","MD","2.77"
"04","1990","53.5","MD","3.81"
"05","1990","61.0","MD","6.93"
"06","1990","71.3","MD","2.70"
"07","1990","76.1","MD","4.82"
"08","1990","73.1","MD","5.95"
"09","1990","65.8","MD","2.02"
"10","1990","59.6","MD","4.30"
"11","1990","48.4","MD","1.99"
"12","1990","41.2","MD","4.91"
"01","1991","34.6","MD","3.71"
"02","1991","39.6","MD","1.29"
"03","1991","45.6","MD","4.80"
"04","1991","54.9","MD","2.47"
"05","1991","68.8","MD","1.78"
"06","1991","72.4","MD","2.33"
"07","1991","77.5","MD","3.53"
"08","1991","75.7","MD","3.59"
"09","1991","66.9","MD","3.66"
"10","1991","56.9","MD","2.36"
"11","1991","45.5","MD","1.60"
"12","1991","39.5","MD","4.66"
"01","1992","35.2","MD","1.72"
"02","1992","37.5","MD","2.67"
"03","1992","41.4","MD","4.46"
"04","1992","52.2","MD","2.25"
"05","1992","59.2","MD","3.86"
"06","1992","68.0","MD","2.69"
"07","1992","75.4","MD","5.31"
"08","1992","70.7","MD","4.20"
"09","1992","66.4","MD","5.00"
"10","1992","53.1","MD","1.83"
"11","1992","45.9","MD","3.87"
"12","1992","36.8","MD","4.45"
"01","1993","36.9","MD","2.80"
"02","1993","31.4","MD","2.55"
"03","1993","39.2","MD","7.40"
"04","1993","51.9","MD","5.23"
"05","1993","64.0","MD","2.93"
"06","1993","71.1","MD","3.05"
"07","1993","78.3","MD","2.09"
"08","1993","75.3","MD","3.65"
"09","1993","67.7","MD","4.57"
"10","1993","54.7","MD","3.22"
"11","1993","45.6","MD","4.03"
"12","1993","34.6","MD","4.20"
"01","1994","26.0","MD","4.42"
"02","1994","32.8","MD","4.39"
"03","1994","41.7","MD","8.28"
"04","1994","57.9","MD","2.71"
"05","1994","59.3","MD","3.23"
"06","1994","74.3","MD","2.51"
"07","1994","77.4","MD","5.36"
"08","1994","71.6","MD","5.18"
"09","1994","65.6","MD","3.30"
"10","1994","54.6","MD","1.20"
"11","1994","50.1","MD","3.17"
"12","1994","41.0","MD","2.09"
"01","1995","36.6","MD","3.74"
"02","1995","31.8","MD","1.92"
"03","1995","45.7","MD","1.96"
"04","1995","52.8","MD","2.32"
"05","1995","61.9","MD","4.51"
"06","1995","71.2","MD","3.70"
"07","1995","77.6","MD","3.33"
"08","1995","76.4","MD","1.85"
"09","1995","66.9","MD","3.12"
"10","1995","59.0","MD","6.29"
"11","1995","40.9","MD","4.40"
"12","1995","32.0","MD","2.38"
"01","1996","30.6","MD","5.70"
"02","1996","34.1","MD","2.51"
"03","1996","38.7","MD","3.91"
"04","1996","53.4","MD","3.70"
"05","1996","60.4","MD","5.69"
"06","1996","72.4","MD","5.51"
"07","1996","73.5","MD","7.52"
"08","1996","72.6","MD","3.96"
"09","1996","67.2","MD","6.43"
"10","1996","56.0","MD","4.56"
"11","1996","40.4","MD","3.15"
"12","1996","39.6","MD","6.32"
"01","1997","33.3","MD","2.37"
"02","1997","40.0","MD","2.60"
"03","1997","45.0","MD","5.05"
"04","1997","50.4","MD","2.59"
"05","1997","59.1","MD","2.42"
"06","1997","69.3","MD","3.02"
"07","1997","75.7","MD","2.85"
"08","1997","72.7","MD","3.88"
"09","1997","66.3","MD","2.57"
"10","1997","55.9","MD","2.72"
"11","1997","43.3","MD","6.20"
"12","1997","37.7","MD","2.48"
"01","1998","40.3","MD","6.16"
"02","1998","40.5","MD","5.82"
"03","1998","44.9","MD","5.58"
"04","1998","55.1","MD","3.91"
"05","1998","65.3","MD","4.74"
"06","1998","70.6","MD","5.00"
"07","1998","75.4","MD","2.21"
"08","1998","75.1","MD","2.34"
"09","1998","71.5","MD","1.78"
"10","1998","57.0","MD","1.77"
"11","1998","46.7","MD","1.04"
"12","1998","41.7","MD","2.11"
"01","1999","36.1","MD","5.40"
"02","1999","37.5","MD","2.56"
"03","1999","41.0","MD","4.31"
"04","1999","53.5","MD","3.04"
"05","1999","63.2","MD","1.53"
"06","1999","71.3","MD","2.19"
"07","1999","78.9","MD","2.61"
"08","1999","75.0","MD","4.40"
"09","1999","67.4","MD","10.36"
"10","1999","54.8","MD","3.14"
"11","1999","50.7","MD","2.08"
"12","1999","39.1","MD","2.66"
"01","2000","32.5","MD","3.15"
"02","2000","38.7","MD","2.30"
"03","2000","48.4","MD","4.95"
"04","2000","52.7","MD","4.29"
"05","2000","64.9","MD","3.27"
"06","2000","72.4","MD","4.99"
"07","2000","72.0","MD","6.40"
"08","2000","72.6","MD","4.09"
"09","2000","65.7","MD","5.29"
"10","2000","57.2","MD","0.35"
"11","2000","43.3","MD","2.05"
"12","2000","29.2","MD","2.82"
"01","2001","32.2","MD","2.75"
"02","2001","38.1","MD","2.20"
"03","2001","40.4","MD","4.95"
"04","2001","54.5","MD","2.06"
"05","2001","62.6","MD","4.44"
"06","2001","72.4","MD","4.65"
"07","2001","72.3","MD","4.49"
"08","2001","76.0","MD","4.30"
"09","2001","65.6","MD","2.39"
"10","2001","56.5","MD","0.92"
"11","2001","50.8","MD","1.01"
"12","2001","42.6","MD","1.85"
"01","2002","39.0","MD","2.32"
"02","2002","39.9","MD","0.58"
"03","2002","45.4","MD","4.22"
"04","2002","56.6","MD","3.73"
"05","2002","62.1","MD","3.29"
"06","2002","73.0","MD","2.79"
"07","2002","77.6","MD","2.66"
"08","2002","77.2","MD","2.95"
"09","2002","69.4","MD","3.95"
"10","2002","56.3","MD","6.25"
"11","2002","44.7","MD","4.43"
"12","2002","34.3","MD","4.27"
"01","2003","28.6","MD","2.25"
"02","2003","31.0","MD","5.86"
"03","2003","44.4","MD","4.08"
"04","2003","52.6","MD","3.10"
"05","2003","59.8","MD","6.53"
"06","2003","69.5","MD","6.88"
"07","2003","75.5","MD","5.37"
"08","2003","76.1","MD","5.04"
"09","2003","67.8","MD","7.84"
"10","2003","54.7","MD","4.21"
"11","2003","50.6","MD","4.63"
"12","2003","36.5","MD","4.90"
"01","2004","28.1","MD","2.24"
"02","2004","34.5","MD","2.47"
"03","2004","45.6","MD","2.47"
"04","2004","54.3","MD","5.39"
"05","2004","69.3","MD","3.88"
"06","2004","70.8","MD","4.39"
"07","2004","75.5","MD","5.96"
"08","2004","73.5","MD","5.43"
"09","2004","68.7","MD","5.26"
"10","2004","55.7","MD","1.72"
"11","2004","48.3","MD","4.45"
"12","2004","37.7","MD","2.90"
"01","2005","33.9","MD","3.91"
"02","2005","36.6","MD","1.96"
"03","2005","39.7","MD","4.48"
"04","2005","54.7","MD","3.59"
"05","2005","58.7","MD","3.75"
"06","2005","72.8","MD","3.09"
"07","2005","77.6","MD","5.61"
"08","2005","77.0","MD","3.06"
"09","2005","71.1","MD","0.60"
"10","2005","57.8","MD","7.69"
"11","2005","48.5","MD","3.00"
"12","2005","33.7","MD","3.26"
"01","2006","41.1","MD","3.62"
"02","2006","36.1","MD","1.70"
"03","2006","44.3","MD","0.33"
"04","2006","56.4","MD","3.47"
"05","2006","62.1","MD","2.30"
"06","2006","71.6","MD","9.31"
"07","2006","77.6","MD","3.62"
"08","2006","76.9","MD","1.32"
"09","2006","65.3","MD","7.02"
"10","2006","55.0","MD","5.09"
"11","2006","49.1","MD","5.22"
"12","2006","42.8","MD","1.98"
"01","2007","38.5","MD","3.03"
"02","2007","28.3","MD","2.40"
"03","2007","44.9","MD","3.62"
"04","2007","51.1","MD","4.47"
"05","2007","64.6","MD","1.37"
"06","2007","72.6","MD","2.92"
"07","2007","75.4","MD","2.47"
"08","2007","76.3","MD","3.90"
"09","2007","69.6","MD","1.30"
"10","2007","63.3","MD","4.58"
"11","2007","45.6","MD","1.77"
"12","2007","38.1","MD","4.21"
"01","2008","35.7","MD","1.65"
"02","2008","37.2","MD","3.54"
"03","2008","44.8","MD","2.95"
"04","2008","55.6","MD","4.72"
"05","2008","60.4","MD","6.86"
"06","2008","74.3","MD","4.60"
"07","2008","76.2","MD","4.21"
"08","2008","72.6","MD","2.01"
"09","2008","68.8","MD","4.89"
"10","2008","55.2","MD","1.47"
"11","2008","44.4","MD","3.33"
"12","2008","38.6","MD","4.76"
"01","2009","29.3","MD","2.49"
"02","2009","37.2","MD","0.51"
"03","2009","43.1","MD","2.33"
"04","2009","54.8","MD","4.69"
"05","2009","63.4","MD","5.93"
"06","2009","71.0","MD","5.43"
"07","2009","73.5","MD","3.07"
"08","2009","76.2","MD","5.96"
"09","2009","66.4","MD","3.72"
"10","2009","55.4","MD","5.75"
"11","2009","49.6","MD","4.47"
"12","2009","35.4","MD","6.92"
"01","2010","32.2","MD","2.76"
"02","2010","30.8","MD","3.42"
"03","2010","47.5","MD","4.99"
"04","2010","57.5","MD","1.87"
"05","2010","65.7","MD","3.11"
"06","2010","76.2","MD","2.10"
"07","2010","79.1","MD","3.78"
"08","2010","76.4","MD","4.35"
"09","2010","70.2","MD","5.24"
"10","2010","57.8","MD","4.82"
"11","2010","46.1","MD","2.14"
"12","2010","30.8","MD","2.27"
"01","2011","29.6","MD","2.37"
"02","2011","37.6","MD","2.26"
"03","2011","43.7","MD","5.04"
"04","2011","56.7","MD","4.77"
"05","2011","65.8","MD","3.20"
"06","2011","74.0","MD","2.54"
"07","2011","79.6","MD","3.29"
"08","2011","75.1","MD","8.86"
"09","2011","69.0","MD","8.03"
"10","2011","55.9","MD","3.67"
"11","2011","49.5","MD","3.42"
"12","2011","41.8","MD","3.65"
"01","2012","37.5","MD","2.27"
"02","2012","40.5","MD","2.11"
"03","2012","52.7","MD","2.14"
"04","2012","54.2","MD","2.49"
"05","2012","67.7","MD","3.69"
"06","2012","71.7","MD","2.99"
"07","2012","79.8","MD","3.67"
"08","2012","75.8","MD","4.86"
"09","2012","67.8","MD","3.61"
"10","2012","57.5","MD","7.94"
"11","2012","42.6","MD","0.75"
"12","2012","42.2","MD","3.86"
"01","2013","36.3","MD","3.45"
"02","2013","34.5","MD","2.21"
"03","2013","39.7","MD","3.25"
"04","2013","54.4","MD","3.07"
"05","2013","62.8","MD","3.19"
"06","2013","72.7","MD","7.46"
"07","2013","77.8","MD","4.76"
"08","2013","72.4","MD","4.22"
"09","2013","66.0","MD","1.53"
"10","2013","58.1","MD","5.06"
"11","2013","43.3","MD","2.73"
"12","2013","38.6","MD","5.08"
"01","2014","27.8","MD","2.65"
"02","2014","32.8","MD","4.17"
"03","2014","38.2","MD","3.75"
"04","2014","52.7","MD","4.93"
"05","2014","64.2","MD","5.18"
"06","2014","72.3","MD","3.63"
"07","2014","74.7","MD","3.87"
"08","2014","71.8","MD","3.93"
"09","2014","68.0","MD","2.64"
"10","2014","58.2","MD","3.37"
"11","2014","42.7","MD","3.08"
"12","2014","39.6","MD","3.53"
"01","2015","30.7","MD","3.79"
"02","2015","25.3","MD","2.03"
"03","2015","39.4","MD","4.26"
"04","2015","54.0","MD","3.64"
"05","2015","67.6","MD","2.46"
"06","2015","73.1","MD","9.39"
"07","2015","75.9","MD","3.93"
"08","2015","73.9","MD","2.61"
"09","2015","70.9","MD","3.86"
"10","2015","55.6","MD","3.71"
"11","2015","50.5","MD","2.62"
"12","2015","48.7","MD","4.57"
"01","1895","12.2","ME","3.51"
"02","1895","11.8","ME","1.42"
"03","1895","21.3","ME","1.97"
"04","1895","38.1","ME","3.97"
"05","1895","53.3","ME","2.12"
"06","1895","62.7","ME","2.96"
"07","1895","63.2","ME","2.98"
"08","1895","61.6","ME","3.45"
"09","1895","55.6","ME","1.41"
"10","1895","39.3","ME","1.88"
"11","1895","32.6","ME","6.52"
"12","1895","20.7","ME","4.04"
"01","1896","10.4","ME","0.89"
"02","1896","13.7","ME","4.34"
"03","1896","20.9","ME","6.35"
"04","1896","38.3","ME","1.65"
"05","1896","50.8","ME","2.39"
"06","1896","58.9","ME","2.95"
"07","1896","64.8","ME","4.47"
"08","1896","61.7","ME","3.48"
"09","1896","52.8","ME","6.04"
"10","1896","41.3","ME","3.83"
"11","1896","31.4","ME","4.27"
"12","1896","15.0","ME","1.34"
"01","1897","12.8","ME","3.36"
"02","1897","16.0","ME","2.15"
"03","1897","23.4","ME","3.67"
"04","1897","38.3","ME","2.65"
"05","1897","49.5","ME","5.04"
"06","1897","55.2","ME","4.03"
"07","1897","65.1","ME","5.43"
"08","1897","61.2","ME","4.20"
"09","1897","52.9","ME","2.71"
"10","1897","44.5","ME","1.31"
"11","1897","30.0","ME","5.33"
"12","1897","18.7","ME","3.63"
"01","1898","9.4","ME","5.10"
"02","1898","19.2","ME","6.46"
"03","1898","29.8","ME","1.96"
"04","1898","36.2","ME","3.46"
"05","1898","50.4","ME","2.00"
"06","1898","58.8","ME","4.54"
"07","1898","64.8","ME","2.66"
"08","1898","64.1","ME","3.60"
"09","1898","55.9","ME","2.98"
"10","1898","44.3","ME","5.90"
"11","1898","32.4","ME","5.35"
"12","1898","16.6","ME","2.09"
"01","1899","11.7","ME","2.83"
"02","1899","11.9","ME","2.48"
"03","1899","21.7","ME","5.17"
"04","1899","39.0","ME","0.96"
"05","1899","49.8","ME","2.54"
"06","1899","59.8","ME","3.37"
"07","1899","63.8","ME","5.55"
"08","1899","62.4","ME","1.11"
"09","1899","53.1","ME","3.39"
"10","1899","45.6","ME","2.31"
"11","1899","30.4","ME","2.70"
"12","1899","22.7","ME","2.86"
"01","1900","13.9","ME","5.92"
"02","1900","15.5","ME","6.89"
"03","1900","21.6","ME","5.74"
"04","1900","39.5","ME","1.91"
"05","1900","46.7","ME","5.10"
"06","1900","61.1","ME","3.87"
"07","1900","64.8","ME","3.51"
"08","1900","63.7","ME","2.14"
"09","1900","56.3","ME","3.08"
"10","1900","48.0","ME","4.65"
"11","1900","32.2","ME","5.43"
"12","1900","15.6","ME","1.65"
"01","1901","11.0","ME","3.47"
"02","1901","11.1","ME","1.74"
"03","1901","23.8","ME","5.10"
"04","1901","40.4","ME","5.55"
"05","1901","50.8","ME","3.06"
"06","1901","60.8","ME","2.81"
"07","1901","65.5","ME","3.36"
"08","1901","63.3","ME","3.91"
"09","1901","56.1","ME","2.77"
"10","1901","43.9","ME","3.62"
"11","1901","26.3","ME","2.32"
"12","1901","19.0","ME","7.14"
"01","1902","12.5","ME","3.09"
"02","1902","16.7","ME","2.23"
"03","1902","32.2","ME","8.02"
"04","1902","39.2","ME","2.90"
"05","1902","47.9","ME","3.51"
"06","1902","55.1","ME","6.08"
"07","1902","61.3","ME","2.68"
"08","1902","60.0","ME","4.25"
"09","1902","55.6","ME","3.23"
"10","1902","43.8","ME","4.47"
"11","1902","34.3","ME","1.70"
"12","1902","14.7","ME","4.76"
"01","1903","13.4","ME","3.58"
"02","1903","16.7","ME","4.16"
"03","1903","32.7","ME","6.13"
"04","1903","38.9","ME","2.10"
"05","1903","51.6","ME","0.73"
"06","1903","56.0","ME","3.69"
"07","1903","61.3","ME","4.36"
"08","1903","57.3","ME","2.56"
"09","1903","56.2","ME","1.42"
"10","1903","43.8","ME","2.98"
"11","1903","29.4","ME","2.31"
"12","1903","14.3","ME","3.19"
"01","1904","5.9","ME","3.75"
"02","1904","7.5","ME","2.07"
"03","1904","23.8","ME","3.14"
"04","1904","36.5","ME","4.06"
"05","1904","53.9","ME","4.75"
"06","1904","58.2","ME","2.76"
"07","1904","65.1","ME","4.04"
"08","1904","60.2","ME","4.20"
"09","1904","51.1","ME","6.09"
"10","1904","41.6","ME","3.01"
"11","1904","26.6","ME","1.79"
"12","1904","7.8","ME","1.94"
"01","1905","7.3","ME","4.07"
"02","1905","9.5","ME","1.66"
"03","1905","23.6","ME","1.20"
"04","1905","38.2","ME","1.69"
"05","1905","49.1","ME","3.02"
"06","1905","57.2","ME","3.69"
"07","1905","65.1","ME","3.58"
"08","1905","60.2","ME","2.14"
"09","1905","53.0","ME","4.13"
"10","1905","42.7","ME","1.30"
"11","1905","29.8","ME","3.78"
"12","1905","19.0","ME","3.20"
"01","1906","19.0","ME","2.87"
"02","1906","15.5","ME","2.21"
"03","1906","18.6","ME","4.78"
"04","1906","35.7","ME","2.99"
"05","1906","47.9","ME","4.14"
"06","1906","58.9","ME","3.88"
"07","1906","64.9","ME","4.25"
"08","1906","64.2","ME","1.97"
"09","1906","54.7","ME","1.95"
"10","1906","44.1","ME","5.52"
"11","1906","30.7","ME","3.51"
"12","1906","12.9","ME","3.51"
"01","1907","7.6","ME","2.78"
"02","1907","7.2","ME","2.37"
"03","1907","22.7","ME","2.45"
"04","1907","35.1","ME","3.95"
"05","1907","45.2","ME","2.32"
"06","1907","58.5","ME","5.06"
"07","1907","64.0","ME","5.36"
"08","1907","60.9","ME","2.86"
"09","1907","54.1","ME","6.29"
"10","1907","40.4","ME","4.45"
"11","1907","31.0","ME","4.13"
"12","1907","22.5","ME","3.41"
"01","1908","15.4","ME","2.74"
"02","1908","12.0","ME","4.37"
"03","1908","23.5","ME","2.71"
"04","1908","35.2","ME","2.45"
"05","1908","51.3","ME","4.68"
"06","1908","61.5","ME","2.05"
"07","1908","66.8","ME","3.24"
"08","1908","61.0","ME","3.94"
"09","1908","58.3","ME","1.32"
"10","1908","46.6","ME","3.81"
"11","1908","31.0","ME","1.79"
"12","1908","14.4","ME","3.20"
"01","1909","12.5","ME","5.36"
"02","1909","14.4","ME","4.91"
"03","1909","23.5","ME","4.10"
"04","1909","35.6","ME","4.14"
"05","1909","48.6","ME","3.08"
"06","1909","59.9","ME","2.65"
"07","1909","62.4","ME","3.14"
"08","1909","61.7","ME","2.37"
"09","1909","54.6","ME","7.51"
"10","1909","45.1","ME","1.94"
"11","1909","34.3","ME","4.42"
"12","1909","19.4","ME","2.54"
"01","1910","17.4","ME","3.35"
"02","1910","14.1","ME","3.41"
"03","1910","29.5","ME","1.85"
"04","1910","43.0","ME","4.02"
"05","1910","49.4","ME","2.77"
"06","1910","57.4","ME","3.52"
"07","1910","65.6","ME","3.91"
"08","1910","61.4","ME","2.96"
"09","1910","53.4","ME","2.51"
"10","1910","44.1","ME","2.29"
"11","1910","31.4","ME","2.39"
"12","1910","14.0","ME","2.71"
"01","1911","12.7","ME","2.65"
"02","1911","9.6","ME","2.21"
"03","1911","20.5","ME","3.99"
"04","1911","36.3","ME","1.19"
"05","1911","56.5","ME","0.71"
"06","1911","59.3","ME","4.63"
"07","1911","68.4","ME","4.40"
"08","1911","62.6","ME","3.15"
"09","1911","52.2","ME","3.23"
"10","1911","42.4","ME","2.16"
"11","1911","29.6","ME","4.00"
"12","1911","23.5","ME","3.26"
"01","1912","5.0","ME","3.28"
"02","1912","13.5","ME","3.06"
"03","1912","21.8","ME","3.84"
"04","1912","36.5","ME","2.87"
"05","1912","51.4","ME","6.49"
"06","1912","57.0","ME","2.17"
"07","1912","64.7","ME","3.31"
"08","1912","58.4","ME","5.84"
"09","1912","53.0","ME","3.20"
"10","1912","45.9","ME","4.93"
"11","1912","32.8","ME","4.47"
"12","1912","21.9","ME","3.33"
"01","1913","20.9","ME","3.34"
"02","1913","11.0","ME","2.21"
"03","1913","28.2","ME","5.29"
"04","1913","40.3","ME","2.21"
"05","1913","47.5","ME","3.57"
"06","1913","57.6","ME","1.31"
"07","1913","65.1","ME","3.77"
"08","1913","61.8","ME","3.09"
"09","1913","53.2","ME","3.70"
"10","1913","49.6","ME","6.41"
"11","1913","34.7","ME","2.19"
"12","1913","22.1","ME","3.40"
"01","1914","8.8","ME","3.06"
"02","1914","5.6","ME","2.05"
"03","1914","25.8","ME","3.79"
"04","1914","33.6","ME","4.13"
"05","1914","52.2","ME","1.84"
"06","1914","56.7","ME","3.85"
"07","1914","62.5","ME","2.74"
"08","1914","61.4","ME","3.48"
"09","1914","55.4","ME","2.09"
"10","1914","45.9","ME","3.07"
"11","1914","28.4","ME","2.65"
"12","1914","15.5","ME","1.95"
"01","1915","15.9","ME","3.37"
"02","1915","19.9","ME","3.88"
"03","1915","24.8","ME","0.46"
"04","1915","40.6","ME","3.05"
"05","1915","48.3","ME","3.52"
"06","1915","58.5","ME","2.37"
"07","1915","63.4","ME","6.81"
"08","1915","61.8","ME","3.66"
"09","1915","57.0","ME","2.45"
"10","1915","45.7","ME","2.52"
"11","1915","32.9","ME","2.85"
"12","1915","22.1","ME","3.54"
"01","1916","15.7","ME","2.49"
"02","1916","12.2","ME","3.43"
"03","1916","18.3","ME","2.17"
"04","1916","39.2","ME","3.11"
"05","1916","50.1","ME","4.39"
"06","1916","57.8","ME","4.62"
"07","1916","66.4","ME","4.71"
"08","1916","64.5","ME","2.82"
"09","1916","55.9","ME","4.12"
"10","1916","44.3","ME","3.01"
"11","1916","28.6","ME","3.07"
"12","1916","19.3","ME","4.73"
"01","1917","11.7","ME","4.19"
"02","1917","8.5","ME","2.29"
"03","1917","24.4","ME","3.42"
"04","1917","36.5","ME","2.87"
"05","1917","43.5","ME","3.30"
"06","1917","58.2","ME","9.36"
"07","1917","66.4","ME","3.75"
"08","1917","65.0","ME","5.57"
"09","1917","52.3","ME","1.58"
"10","1917","42.0","ME","6.16"
"11","1917","26.8","ME","1.44"
"12","1917","8.0","ME","2.99"
"01","1918","5.8","ME","2.96"
"02","1918","9.7","ME","3.02"
"03","1918","22.2","ME","1.98"
"04","1918","39.0","ME","2.20"
"05","1918","53.7","ME","2.81"
"06","1918","55.6","ME","4.01"
"07","1918","65.1","ME","6.25"
"08","1918","62.3","ME","2.63"
"09","1918","52.2","ME","6.56"
"10","1918","44.3","ME","4.80"
"11","1918","32.6","ME","3.64"
"12","1918","19.0","ME","3.16"
"01","1919","15.6","ME","3.13"
"02","1919","18.1","ME","2.14"
"03","1919","28.4","ME","4.02"
"04","1919","37.3","ME","3.08"
"05","1919","50.4","ME","3.94"
"06","1919","62.3","ME","2.35"
"07","1919","66.3","ME","3.66"
"08","1919","60.8","ME","2.54"
"09","1919","53.5","ME","4.14"
"10","1919","42.3","ME","3.76"
"11","1919","30.9","ME","3.97"
"12","1919","12.4","ME","1.71"
"01","1920","3.8","ME","2.11"
"02","1920","13.6","ME","5.52"
"03","1920","26.3","ME","3.36"
"04","1920","35.9","ME","6.34"
"05","1920","49.8","ME","1.65"
"06","1920","59.6","ME","3.02"
"07","1920","64.1","ME","4.21"
"08","1920","65.8","ME","3.80"
"09","1920","56.1","ME","6.60"
"10","1920","49.0","ME","3.04"
"11","1920","27.8","ME","3.33"
"12","1920","20.4","ME","5.32"
"01","1921","15.2","ME","1.85"
"02","1921","15.3","ME","2.45"
"03","1921","31.8","ME","3.30"
"04","1921","42.8","ME","3.11"
"05","1921","52.5","ME","1.67"
"06","1921","59.7","ME","1.88"
"07","1921","70.0","ME","3.06"
"08","1921","61.1","ME","4.24"
"09","1921","57.1","ME","2.80"
"10","1921","44.4","ME","3.30"
"11","1921","26.7","ME","4.77"
"12","1921","16.6","ME","2.14"
"01","1922","9.7","ME","2.33"
"02","1922","13.4","ME","2.66"
"03","1922","28.2","ME","3.36"
"04","1922","39.6","ME","2.83"
"05","1922","52.3","ME","2.89"
"06","1922","61.3","ME","8.98"
"07","1922","64.7","ME","2.43"
"08","1922","63.0","ME","4.71"
"09","1922","55.3","ME","1.67"
"10","1922","42.9","ME","2.84"
"11","1922","31.2","ME","2.16"
"12","1922","13.5","ME","2.74"
"01","1923","8.8","ME","4.98"
"02","1923","5.9","ME","1.68"
"03","1923","17.0","ME","3.65"
"04","1923","34.7","ME","5.98"
"05","1923","49.0","ME","1.85"
"06","1923","59.5","ME","2.70"
"07","1923","62.1","ME","3.39"
"08","1923","59.2","ME","2.66"
"09","1923","55.5","ME","2.22"
"10","1923","45.2","ME","3.54"
"11","1923","33.4","ME","3.76"
"12","1923","26.4","ME","3.35"
"01","1924","13.1","ME","3.54"
"02","1924","9.5","ME","2.14"
"03","1924","27.6","ME","1.35"
"04","1924","35.9","ME","4.72"
"05","1924","47.4","ME","3.57"
"06","1924","57.6","ME","1.91"
"07","1924","65.2","ME","2.99"
"08","1924","62.6","ME","3.89"
"09","1924","53.4","ME","4.81"
"10","1924","45.0","ME","0.91"
"11","1924","33.0","ME","3.25"
"12","1924","13.7","ME","2.14"
"01","1925","5.0","ME","2.91"
"02","1925","21.4","ME","2.99"
"03","1925","29.2","ME","4.16"
"04","1925","38.6","ME","1.58"
"05","1925","47.2","ME","2.06"
"06","1925","60.4","ME","5.23"
"07","1925","63.1","ME","3.85"
"08","1925","63.1","ME","1.73"
"09","1925","52.7","ME","5.17"
"10","1925","36.7","ME","6.23"
"11","1925","30.5","ME","4.59"
"12","1925","17.8","ME","2.69"
"01","1926","12.2","ME","3.13"
"02","1926","12.6","ME","3.07"
"03","1926","18.4","ME","2.65"
"04","1926","31.8","ME","2.84"
"05","1926","46.6","ME","2.19"
"06","1926","56.8","ME","3.01"
"07","1926","63.5","ME","2.57"
"08","1926","61.6","ME","3.77"
"09","1926","53.2","ME","3.43"
"10","1926","42.9","ME","5.07"
"11","1926","31.8","ME","5.23"
"12","1926","14.2","ME","2.71"
"01","1927","15.4","ME","3.00"
"02","1927","14.1","ME","2.98"
"03","1927","28.1","ME","1.39"
"04","1927","38.4","ME","1.35"
"05","1927","46.5","ME","4.76"
"06","1927","55.8","ME","2.61"
"07","1927","65.1","ME","4.18"
"08","1927","60.1","ME","4.97"
"09","1927","55.2","ME","2.20"
"10","1927","46.6","ME","6.20"
"11","1927","35.4","ME","6.72"
"12","1927","21.9","ME","5.24"
"01","1928","13.8","ME","3.55"
"02","1928","13.5","ME","2.08"
"03","1928","23.4","ME","2.55"
